система	google	551	3436	95	3.8021888294213895
google	chrome	3436	275	201	5.246580557366268
google	inc	3436	300	35	3.4116123338069757
компания	google	1359	3436	292	4.022296135090901
браузер	google	179	3436	37	3.9835788537772325
сайт	google	452	3436	36	3.029883505597642
сервис	google	441	3436	80	3.8530285062007987
год	google	580	3436	110	3.8974990092257142
google	earth	3436	97	74	5.28940086167455
google	code	3436	78	42	4.94100753856754
google	talk	3436	68	60	5.434883604019757
google	maps	3436	160	120	5.272364674521982
карта	google	125	3436	83	5.150573617468059
проект	google	526	3436	32	2.76048143703578
google	android	3436	630	84	3.5451437264314984
google	объявить	3436	37	32	5.414864737129265
поиск	google	192	3436	34	3.8289118995621427
корпорация	google	96	3436	37	4.606616468150151
google	play	3436	141	117	5.373460791393351
приложение	google	280	3436	31	3.3592443482896597
google	io	3436	40	31	5.305154497344973
google	wave	3436	51	35	5.183569175738851
